Timestamp,Coffee,Sleep
3/24/2023 9:59:09,Yes,4
3/24/2023 10:09:26,Yes,5
3/24/2023 10:24:51,Yes,2
3/24/2023 12:38:25,Yes,6
3/24/2023 13:31:35,Yes,4
4/3/2023 9:27:23,Yes,5
4/3/2023 9:30:44,No,6
4/3/2023 9:30:45,Yes,6
4/3/2023 9:32:56,No,7
4/3/2023 9:34:01,No,5
4/3/2023 9:35:01,No,7
4/3/2023 9:35:09,Yes,8
4/3/2023 9:36:17,No,7
4/3/2023 9:37:08,Yes,2
4/3/2023 9:41:05,No,8
4/3/2023 9:41:21,No,7
4/3/2023 9:54:52,No,8
4/3/2023 9:57:03,No,6
4/3/2023 9:57:39,Yes,6
4/3/2023 10:01:06,No,6
4/3/2023 10:04:10,No,8
4/3/2023 10:06:30,Yes,8
4/3/2023 10:13:35,Yes,7.5
4/3/2023 10:15:39,Yes,8
4/3/2023 10:18:37,No,7
4/3/2023 10:19:09,Yes,8
4/3/2023 10:19:47,Yes,7
4/3/2023 10:20:55,No,8